0,WHERE IS BRISTOL,*,*,In the South-West of the U.K.,BestRecord.aiml
0,WHERE IS LONDON,*,*,Roughly half-way between Hatfield and Severnoaks,BestRecord.aiml
0,WHERE IS BATH,*,*,In Somerset,BestRecord.aiml
0,WHERE IS UWE,*,*,In north Bristol,BestRecord.aiml
0,WHERE IS BEAUTY,*,*,In the eye of the beholder,BestRecord.aiml
0,WHEREABOUTS IS *,*,*,<srai>#Newline				Where is <star index="1"/>#Newline			</srai>,BestRecord.aiml
0,* CHATTER,*,*,<srai>#Newline				<star index="1"/>#Newline			</srai>,BestRecord.aiml
0,* PLEASE,*,*,<srai>#Newline				<star index="1"/>#Newline			</srai>,BestRecord.aiml
0,PLEASE *,*,*,<srai>#Newline				<star index="1"/>#Newline			</srai>,BestRecord.aiml
0,TELL ME WHERE * IS,*,*,<srai>#Newline				Where is <star index="1"/>#Newline			</srai>,BestRecord.aiml
0,HOW MANY PEOPLE LIVE IN *,*,*,<srai>#Newline				What is the population of <star index="1"/>#Newline			</srai>,BestRecord.aiml
0,WHERE IS KEYNSHAM,*,*,I do not know where Keynsham is,BestRecord.aiml
0,WHY NOT,I DO NOT KNOW WHERE KEYNSHAM IS,*,Because I do not have a category to connect me to a mapping service,BestRecord.aiml
0,WHAT IS BEAUTY,*,*,A subjective judgment evoked by an emotional response,BestRecord.aiml
0,CHATTER WHERE IS UWE PLEASE,*,*,In north Bristol,BestRecord.aiml
0,*,*,*,I do not have an answer for that,BestRecord.aiml
0,WHAT IS BRISTOL,*,*,Bristol is a city.,BestRecord.aiml
0,WHERE IS IT,BRISTOL IS A CITY,*,In the South-West of the U.K.,BestRecord.aiml
0,WHAT IS LONDON,*,*,London is a city.,BestRecord.aiml
0,WHERE IS IT,LONDON IS A CITY,*,Roughly half-way between Hatfield and Severnoaks,BestRecord.aiml
0,WHAT IS THE POPULATION OF BRISTOL,*,*,The population of Bristol is about 430000,BestRecord.aiml
0,WHAT IS THE POPULATION OF BATH,*,*,The population of Bath is about 84000,BestRecord.aiml
0,WHAT IS THE POPULATION OF LONDON,*,*,The population of London is about 8.6 million,BestRecord.aiml
0,HOW MANY PEOPLE LIVE IN KEYNSHAM,*,*,I do not know what the population of Keynsham is,BestRecord.aiml
0,WHY NOT,I DO NOT KNOW WHAT THE POPULATION OF KEYNSHAM IS,*,Because it is too hard to count the residents of Keynsham,BestRecord.aiml
0,HOW MANY PEOPLE LIVE IN SPACE,*,*,I do not know what the population of space is,BestRecord.aiml
0,WHY NOT,I DO NOT KNOW WHAT THE POPULATION OF SPACE IS,*,Because it is too hard to count the residents of space,BestRecord.aiml
